Q2 (GeV);x;sigma (mb);sigma error (mb)
8;0.0117681;7.39276e-08;1.27918e-12
8;0.0129155;7.15071e-08;1.3765e-12
8;0.0141747;6.91641e-08;1.34081e-12
8;0.0155568;6.68967e-08;1.26648e-12
8;0.0170735;6.47026e-08;1.1991e-12
8;0.0187382;6.25793e-08;1.14436e-12
8;0.0205651;6.05247e-08;1.09946e-12
8;0.0225702;5.85365e-08;1.06165e-12
8;0.0247708;5.66128e-08;1.03102e-12
8;0.0271859;5.47514e-08;1.00579e-12
8;0.0298365;5.29504e-08;9.82545e-13
8;0.0327455;5.1208e-08;9.56837e-13
8;0.0359381;4.95222e-08;9.25531e-13
8;0.0394421;4.78912e-08;8.84244e-13
8;0.0432876;4.63134e-08;8.70961e-13
8;0.0475081;4.47868e-08;7.63716e-13
8;0.0521401;4.33101e-08;7.51784e-13
8;0.0572237;4.18815e-08;7.38764e-13
8;0.0628029;4.04997e-08;7.12627e-13
8;0.0689261;3.9163e-08;6.88441e-13
8;0.0756463;3.787e-08;6.65889e-13
8;0.0830218;3.66193e-08;6.42889e-13
8;0.0911163;3.54096e-08;6.19485e-13
8;0.1;3.42395e-08;5.95869e-13
10;1e-05;7.28186e-07;1.25759e-11
10;1.0975e-05;7.07416e-07;1.22589e-11
10;1.2045e-05;6.87159e-07;1.19104e-11
10;1.32194e-05;6.67408e-07;1.15554e-11
10;1.45083e-05;6.48153e-07;1.12138e-11
10;1.59228e-05;6.29384e-07;1.08842e-11
10;1.74753e-05;6.11093e-07;1.05649e-11
10;1.91791e-05;5.93271e-07;1.0253e-11
10;2.1049e-05;5.75909e-07;9.94733e-12
10;2.31013e-05;5.58998e-07;9.6444e-12
10;2.53536e-05;5.42529e-07;9.35314e-12
10;2.78256e-05;5.26494e-07;9.07039e-12
10;3.05386e-05;5.10883e-07;8.79604e-12
10;3.3516e-05;4.95687e-07;8.52066e-12
10;3.67838e-05;4.80899e-07;8.25804e-12
10;4.03702e-05;4.66509e-07;8.00569e-12
10;4.43062e-05;4.52509e-07;7.76326e-12
10;4.8626e-05;4.38891e-07;7.53184e-12
10;5.3367e-05;4.25645e-07;7.31056e-12
10;5.85702e-05;4.12765e-07;7.10041e-12
10;6.42807e-05;4.0024e-07;6.95546e-12
10;7.0548e-05;3.88065e-07;6.78778e-12
10;7.74264e-05;3.76231e-07;7.18384e-12
10;8.49753e-05;3.64728e-07;6.44341e-12
10;9.32603e-05;3.53551e-07;6.9111e-12
10;0.000102353;3.42688e-07;6.19203e-12
10;0.000112332;3.32137e-07;5.8683e-12
10;0.000123285;3.21887e-07;6.0972e-12
10;0.000135305;3.11931e-07;5.87752e-12
10;0.000148497;3.02263e-07;5.28017e-12
10;0.000162975;2.92875e-07;5.14446e-12
10;0.000178865;2.8376e-07;4.83394e-12
10;0.000196304;2.74912e-07;4.63552e-12
10;0.000215443;2.66323e-07;4.84507e-12
10;0.000236449;2.57986e-07;4.54421e-12
10;0.000259502;2.49895e-07;4.29934e-12
10;0.000284804;2.42045e-07;4.2211e-12
10;0.000312572;2.34427e-07;4.27038e-12
10;0.000343047;2.27035e-07;4.0002e-12
10;0.000376494;2.19866e-07;3.82622e-12
10;0.000413201;2.12912e-07;3.65664e-12
10;0.000453488;2.06168e-07;3.47236e-12
10;0.000497702;1.99628e-07;3.33501e-12
10;0.000546228;1.93286e-07;3.63289e-12
10;0.000599484;1.87136e-07;3.37494e-12
10;0.000657933;1.81174e-07;3.22376e-12
10;0.000722081;1.75393e-07;3.07767e-12
10;0.000792483;1.6979e-07;3.08339e-12
10;0.000869749;1.64358e-07;2.72154e-12
10;0.000954548;1.59093e-07;2.67028e-12
10;0.00104762;1.53991e-07;2.61303e-12
10;0.00114976;1.49047e-07;2.51723e-12
10;0.00126186;1.44256e-07;2.42981e-12
10;0.00138489;1.39615e-07;2.34866e-12
10;0.00151991;1.35117e-07;2.27264e-12
10;0.0016681;1.3076e-07;2.19997e-12
10;0.00183074;1.26539e-07;2.13057e-12
10;0.00200923;1.2245e-07;2.06434e-12
10;0.00220513;1.18489e-07;2.00147e-12
10;0.00242013;1.14653e-07;1.94275e-12
10;0.00265609;1.10938e-07;1.8886e-12
10;0.00291505;1.0734e-07;1.82348e-12
10;0.00319927;1.03856e-07;1.73525e-12
10;0.00351119;1.00482e-07;1.67115e-12
10;0.00385353;9.7215e-08;1.61915e-12
10;0.00422924;9.40515e-08;1.64368e-12
10;0.00464159;9.09889e-08;1.51407e-12
10;0.00509414;8.80237e-08;1.48752e-12
10;0.00559081;8.51537e-08;1.5089e-12
10;0.00613591;8.23743e-08;1.42879e-12
10;0.00673415;7.96843e-08;1.38709e-12
10;0.00739072;7.70805e-08;1.33771e-12
10;0.00811131;7.45601e-08;1.29768e-12
10;0.00890215;7.21209e-08;1.29314e-12
10;0.0097701;6.976e-08;1.17904e-12
10;0.0107227;6.74749e-08;1.1809e-12
10;0.0117681;6.52636e-08;1.12987e-12
10;0.0129155;6.3123e-08;1.08215e-12
10;0.0141747;6.10521e-08;1.04447e-12
10;0.0155568;5.9048e-08;1.00875e-12
10;0.0170735;5.71091e-08;9.58177e-13
10;0.0187382;5.52327e-08;9.46386e-13
10;0.0205651;5.34168e-08;8.98418e-13
10;0.0225702;5.16603e-08;8.46272e-13
10;0.0247708;4.99606e-08;8.41234e-13
10;0.0271859;4.83161e-08;7.89673e-13
10;0.0298365;4.67252e-08;7.71994e-13
10;0.0327455;4.51857e-08;7.34904e-13
10;0.0359381;4.36969e-08;7.08147e-13
10;0.0394421;4.22563e-08;6.83765e-13
10;0.0432876;4.08627e-08;6.46992e-13
10;0.0475081;3.95147e-08;6.414e-13
10;0.0521401;3.82107e-08;5.97386e-13
10;0.0572237;3.69492e-08;5.68883e-13
10;0.0628029;3.5729e-08;5.70818e-13
10;0.0689261;3.45488e-08;5.456e-13
10;0.0756463;3.34072e-08;5.2465e-13
10;0.0830218;3.23031e-08;5.07736e-13
10;0.0911163;3.12353e-08;5.00768e-13
10;0.1;3.02025e-08;4.68186e-13
